stt,thoigian,giaphong,dientich,diachi,chitiet
4,Tin cá nhân đăng 3 ngày trước,"1,5 triệu/tháng- 110 m2",110 m²,"Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội","🤫CHO THUÊ HOMESTAY #r00mate GIÁ CHỈ TỪ 1,500,000
Chỉ xách quần áo đến, ở phòng #trọn_gói_tất_cả_tiện_ích: Điện nước, nóng lạnh, wifi, máy giặt, điều hòa...
Địa chỉ: Chung cư C14 Bắc Hà, Nam Từ Liêm. Gần BigC Hà Đông, gần các trường ĐH Hà Nội, Kiến trúc, HV Bưu chính...
Không giới hạn thời gian ra-vào, không chung chủ, giá phòng cam kết cố định.
Tối ưu không gian sống, mang đến trải nghiệm tiện lợi với: Giường cá nhân, tủ an toàn, bàn làm việc, bếp từ 2 mặt, xoong nồi…Và bạn có thể ở ngay gần nơi bạn học hay làm việc."
9,Tin môi giới đăng 14 giờ trước,"1,4 triệu/tháng- 20 m2",20 m²,"Ngõ 12e trần quốc vượng xuân t, trần quốc vượng trần thái tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội","Ngõ 12e trần quốc vượng xuân thuỷ SN19 1tr4 1tr8 2tr5 3tr/t khép kín
Tôi còn 5 phòng,ai thuê qua xem trực tiếp,đóng tiền theo tháng,nấu ăn trong phòng,phù hợp cho người đi làm,sinh viên ở nhé,thoáng có cửa sổ,chủ nhà xây 4 tầng nhé,ngay trần thái tông,sư phạm,quốc gia,báo chí,mỗi phòng ở từ 1 hoặc 2 hoặc 3 bạn nhé,gần điểm buýt,vệ sinh khép kín,wifi tốc độ cao,ánh sáng tự nhiên nhé,có phòng 15m2 và 16m2 và 18m2 và 22m2 khép kín."
6,Tin cá nhân đăng 14 giờ trước,"2,5 triệu/tháng- 20 m2",20 m²,"so nhà 20 ngõ 99/110/65, Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội","minh co mot phong cho thuê o sn 20 ngo 99/110/65 định công hạ. khu o an ninh tôt, sạch sẽ, vệ sinh khép kín, giờ giấc thoải mái, có điều hoà nóng lạnh."
0,Tin cá nhân đăng 3 tháng trước,"4,7 triệu/tháng- 35 m2",35 m²,"Đường La Thành, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","Địa chỉ số 1 ngõ 96b đương la thành phường ô chợ dừa hà nội.tức số nhà 71a ngõ cẩm văn
    P501 S35m2 khép kín trong p có giương tủ quần áo nóng lạnh hút mùi điều hoà tu lanh vs khép kín bàn kế ăn
    Chỗ để xe rộng có bảo vệ thang máy camera an ninh tốt gần chợ trung tâm
    Gần tôn đưc thắng hào nam xã dsan
giá cho thuê 4tr7/tháng thanh toán linh hoạt"
7,Tin môi giới đăng 14 giờ trước,2 triệu/tháng- 20 m2,20 m²,"173, Đường Đình Thôn, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","Cho thuê phòng diện tích 20-25M tại Đình Thôn, Mỹ Đình, Từ Liêm, Hà Nội.
    Phòng đẹp diện tích 20 - 25m2 thoáng mát có điều hòa, nóng lạnh, có giường, tủ quần áo, có cửa sổ ánh sáng tự nhiên.
    Internet tốc độ cao.
    Nhà để xe rộng rãi có bảo vệ 24/24.
    Không gian chung yên tĩnh, sạch sẽ có vệ sinh lau dọn hàng tuần.
    Địa điểm đẹp nhà ngay mặt đường Đình Thôn, ô tô đỗ cửa đi lại thuận tiện, gần Big C Garden, Keangnam, Phạm Hùng..."
5,Tin môi giới đăng 14 giờ trước,"2,5 triệu/tháng- 20 m2",20 m²,"34, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội","
    TOÀN NHÀ 8 TẦNG CÓ THANG MÁY, THANG THOÁT HIỂM, Ô TÔ ĐỖ CỬA, XE  ĐỂ TẦNG 1 .

    ĐỐI DIỆN BỘ CÔNG AN MỚI , THUỘC KHU TẬP THỂ  BỘ CÔNG AN, DÂN TRÍ CAO, THUẬN TIỆN GIAO THÔNG. GẦN SIÊU THỊ, TRƯỜNG ĐẠI HỌC ĐIỆN LỰC, DU LỊCH

    DIỆN TÍCH PHÒNG 22m2 . THIẾT KẾ KHOA HỌC, CÓ GÁC XÉP THÔNG MINH.

    CÁC PHÒNG ĐỀU CÓ BÌNH NÓNG LẠNH , HÀNH LANG RỘNG RÃI.

    BẢO VỆ 24/24 . CÓ CAMERA , CÓ MÁY GIẶT CHUNG"
8,Tin cá nhân đăng 14 giờ trước,3 triệu/tháng- 25 m2,25 m²,"12/14 ngõ 579 kim mã, Phường Kim Mã, Quận Ba Đình, Hà Nội","cho thuê phòng khép kín dt 25 m2 wc riêng biệt , nóng lạnh điều hoà ,tủ quần áo, nhà ngay tt quận BD gần hồ Thủ lệ, Daewoo phố Kim Mã"
3,Tin cá nhân đăng 7 giờ trước,"3,4 triệu/tháng- 30 m2",28 m²,"14, Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội","Nhà mình còn   1 phòng tầng 3 trong nhà 5 tầng.
Phòng có cửa sổ rộng thoáng, ban công, không bị che chắn rất thoáng.
Sàn gỗ, đầy đủ giường tủ bàn ghế điều hòa nóng lạnh ...
Vệ sinh khép kín đủ trang thiết bị vệ sinh.
Nhà cực kì sạch sẽ, có chỗ nấu ăn, sân phơi, để xe free
Có dọn vệ sinh, máy giặt ...
Nhà ở trong ngõ an ninh, sạch sẽ, không ngập nước...
Vị trí cực gần các trường ngoại thương, giao thông vt,..
Tiền điện 3k5/1 số, nước 100k 1 người, wifi 65k,...
Địa chỉ : Ngách 90/1194 Đường Láng, Hoặc có thể đi từ ngõ 138 chùa láng vào."
2,Tin cá nhân đăng 2 tuần trước,"2,1 triệu/tháng- 16 m2",16 m²,"Ngõ 151, Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","Nhà trọ mới xây, gác xép bê tông cao ráo, sân vườn ngõ rộng. Khu phụ khép kín."
1,Tin môi giới đăng 5 ngày trước,4 triệu/tháng- 35 m2,35 m²,"277 ngõ 275, Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội","CHO THUÊ CHUNG CƯ MINI MỚI HOÀN THIỆN VÀO Ở LUÔN ĐƯỜNG TRUNG VĂN

Tòa chung cư mini 8 tầng nằm trên đường TRUNG VĂN CẮT ĐƯỜNG TỐ HỮU,cuối đường lương thế vinh, gần nhà thờ Phùng Khoang, gần trường cao đẳng Xây Dựng, được thiết kế thông minh, tiện lợi, đầy đủ tiện ích đi kèm, gồm tầng 1 với DT250M2 để xe rộng rãi. giao thông đi lại thuận tiện và 7 tầng trên với các căn hộ chung cư mini cho thuê. 
- Nằm Cách mặt đường ĐƯỜNG TỐ HỮU 100m, 3 phút ra bigc thăng long, ngã tư trần duy hưng, đường phạm hùng, ngã tư khuất duy tiến... 
- Chỉ 3 phút để tiếp cận hệ thống ngân hàng, siêu thị, trung tâm thương mại, trường học Quốc tế từ mầm non đến trung học, đại học ... 
2. Thiết kế 02 loại diện tích: 35m2, 45m2  tiện dụng. 
- 1 Phòng ngủ riêng biệt, có thêm gác xép : điều hòa 02 chiều, giường, tủ quần áo... 
- Phòng khách được thiết kế đẹp có thể làm phòng ngủ nếu nhà đông người.
- Khu bếp riêng biệt,có tủ bếp trên và dưới, chậu rửa bát hiện đại nấu nướng không sợ mùi vào phòng ngủ và khách.
- WC khép kín hiện đại, bình nóng lạnh,thiết bị vệ sinh 
- Tòa nhà có bảo vệ , đảm bảo, giờ giấc 24/24h, thoải mái đi lại.
- Gửi xe miễn phí, tối đa mỗi phòng 2 xe máy,truyền hình cáp, internet cáp quang, camera các tầng, có thang máy tốc độ cao..."
