stt,link,thoigian,giaphong,dientich,vido,kinhdo,drmd,diachi,chitiet
0,https://phongtro123.com/nha-mat-ngo-20m2-tien-dung-khep-kin-va-doc-lap-pr585654.html,Ngày đăng1 giờ trước,Giá cho thuê2 triệu/tháng,Diện tích20m2,"Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",20.9848364,4.0,105.8598553,"Nhà mặt ngõ, diện tích 20m2 , căn hộ độc lập với khu vệ sinh khép kín, bếp riêng .Thông thoáng trước sau , điện nước đầy đủ với công tơ riêng.Giá nhà : 2.000.000 vndLH Bac Quang , chính chủ 0915.121,945Dịa chỉ: ngách 169/52 đường Hoàng Mai, phường Hoàng Văn Thụ, Hà Nội"
4,https://phongtro123.com/cho-thue-phong-tro-khu-vuc-nghia-do-cau-giay-pr585605.html,Ngày đăng21 giờ trước,Giá cho thuê3 triệu/tháng,Diện tích17m2,"số 14 ngõ 142 Đường Nguyễn Đình Hoàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",21.0416517,3.1,105.8052068,"Nhà mình có phòng cho thuê khu vực Nghĩa Đô Cầu Giấy nhà mới xây khép kín không chung chủ+Địa chỉ tại SỐ 14 NGÕ 142 NGUYỄN ĐÌNH HOÀN ( NGÕ 1 HOÀNG QUỐC VIỆT)+Diện tích trên 20m2 trang bị điều hòa,nóng lạnh vs khép kín đầy đủ thiết bị có giường tủ chỉ cần dọn đến ở luôn+Nhà mới xây thoáng có sân phơi rộng,an ninh đảm bảo không chung chủ giá 3tr / phòng+Camera an ninh 24/7 chỗ để xe free tầng 1Liên hệ chủ nhà: A Thanh:0967519828"
7,https://phongtro123.com/tinh-thanh/ha-noi/chinh-chu-cho-thue-phong-khep-kin-o-ngo-106-nguyen-ngoc-nai-gia-27-trieuthang.html,Ngày đăng20 giờ trước,Giá cho thuê2.8 triệu/tháng,Diện tích30m2,"24/106 Đường Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",20.99959,3.3,105.8247279,"Chính chủ cho thuê phòng khép kín ở ngõ 106 Nguyễn Ngọc Nại, giá 2,8 triệu/tháng. Phòng rộng 30m2, có cữa sổ, có nóng lạnh điều hoà có WC khép kín, có chổ để xe ở tầng 1.Ở riêng chủ đi về tự khoá mở. ô tô vào tận nhà.Còn phòng ở tầng 4 giá 2,8 triệu/tháng. Điện nước cả nhà dùng tự chia theo giá nhà nước.Ai có nhu cầu thuê liên hệ chủ nhà: ĐT 0945931616."
9,https://phongtro123.com/cho-thue-phong-tro-khu-vuc-ha-dong-ha-noi-pr585418.html,Ngày đăng18 giờ trước,Giá cho thuê3.2 triệu/tháng,Diện tích25m2,"Ngõ 55 Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",20.9796446,2.1,105.7923394,"Mình còn 1 CCMN cho thuêĐịa chỉ : Ngõ 55 Trần Phú, Hà Đông.( gần trường Đh Sư Phạm Nghệ Thuật Trung Ương, Đh Công Nghệ GTVT, Đh Kiến Trúc, Học Viện Bưu Chính Viễn Thông, đối diện chợ Phùng Khoang...)FULL Đồ: điều hòa, nóng lạnh, giường, tủ quần áo, tủ lạnh, bàn làm việc, máy giặt chung, bàn bếp.Để xe máy free tầng 1, cửa ra vào khóa vân tay.Hàng tuần có người dọn vệ sinh khu chung Liên hệ: SĐT và Zalo : 0335.649.789"
5,https://phongtro123.com/cho-thue-phong-o-lam-van-phong-mini-pr585601.html,Ngày đăng22 giờ trước,Giá cho thuê3 triệu/tháng,Diện tích30m2,"Hoàng Công Chất, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",21.0447602,3.2,105.7664954,"Cần cho thuê cả tầng hoặc từng phòng để ở hoặc làm văn phòng. Nhà biệt thự liền kề mới xây đẹp long lanh. Đường vào to rộng 2 mặt tiền. Vị trí gần Đại học quốc gia, sư phạm, thương mại, ĐH tài nguyên môi trường...... Khu cán bộ cao cấp, an ninh tốt.Địa chỉ: Khu biệt thự nhà vườn Cầu Diễn, Ngõ 332 Hoàng Công Chất, Q. Bắc Từ Liêm (Đối diện tòa CT3 Cầu Diễn)S: 25-35 m2Phòng thoáng đẹp, trần thạch cao, Trang bị điều hòa, nóng lạnh, Wc khép kínGiá: 3tr-4.5trLH: 096 797 6789 (C. Hương)"
2,https://phongtro123.com/nhapminh-dang-co-phong-tien-nghi-gia-sinh-vien-mat-me-o-quan-bac-tu-liem-gan-dai-hoc-y-te-khep-kin-pr585631.html,Ngày đăng17 giờ trước,Giá cho thuê3 triệu/tháng,Diện tích25m2,"Hoàng Tăng Bí, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",21.0837549,2.1,105.778333,"Thông tin chi tiết về phòng:CHỈ CẦN MANG ĐỒ VÀO Ở (KHÔNG CẦN SẮM NHIỀU) PHÙ HỢPCHO AI THÍCH TÌM PHÒNG NGON- BỔ- RẺ- Gía: 2,7-3.0 tr- Được trang bị đầy đủ, giường,...- Địa điểm xung quanh : Đại học Mỏ, Y Tế, Nội Vụ, Tài Nguyên Môi Trường,…- Diện tích: 20 m2- Điều hòa:- Điện giá dân(đỡ tiền điều hòa,nóng lạnh)- Nước giá dân- Wifi:- Vệ sinh:20k- Để xe: Miễn phí, chỗ để xe cũng thoải mái- Có máy giặt chung(không mất công tự giặt,hay tốn tiền mang ra tiệm)- Gio giấc tự do, không chung chủ- Có ban công- An ninh tốt, không xảy ra trường hợp mất cắp- Được phép nuôi thú cưng, miễn không gây ảnh hưởngngười xung quanh- Gần các địa điểm đông dân cư, trường đại học, Vinmart, chợ...- Tối đa ở 2 người.- Ảnh thật: Ib để tham khảo rõ hơn--------------------------------------Contact: 037 215 1998 (Call sau 4h P.M) / Zalo: 0397 544 573#phongtro #choo #nha #chungcu #lephat #chungcumini#nhady #nhatro#nhady"
6,https://phongtro123.com/cho-thue-phong-trong-nha-5-tang-ngo-295-bui-xuong-trach-2-5trieu-thang-pr304665.html,Ngày đăng20 giờ trước,Giá cho thuê2.5 triệu/tháng,Diện tích20m2,"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",20.9880064,2.1,105.8183255,"Cần cho thuê phòng trong nhà 5 tầng tại phố Bùi Xương Trạch Phường Khương Đình, Quận Thanh Xuân, Hà NộiCòn 2 loại giá phòng như sau;+ Còn phòng ở tầng 2 giá 2,5 triệu/tháng.+Phòng tầng 4 giá 2,3 triệu/ thángMỗi tầng 2 phòng dùng chung 1wc phòng rộng khoảng 20m2 đến 25m2, sàn gỗ, thoáng mát, ô tô vào tận nhàĐT 0945.931616 (chính chủ)"
3,https://phongtro123.com/chinh-chu-cho-thue-phong-khep-kin-full-do-tai-trung-tam-pho-co-pr585627.html,Ngày đăng18 giờ trước,Giá cho thuê3.6 triệu/tháng,Diện tích20m2,"Bát Đàn, Phường Hàng Bồ, Quận Hoàn Kiếm, Hà Nội",21.03371,2.8,105.8469731,"Phòng như hình, diện tích 20m2, có cửa sổ thoáng, chỉ cần xách quần áo đến ở.Địa chỉ mặt phố Bát Đàn, gần chợ Hàng Da cách phố đi bộ 1km, phù hợp với người đi làm, dân văn phòng.Yêu cầu ăn ở vệ sinh sạch sẽ, giữ gìn an ninh trật tự.Mình ít ol nên bạn nào có nhu cầu thì liên hệ trực tiếp mình: 0918918527"
8,https://phongtro123.com/tinh-thanh/ha-noi/chinh-chu-cho-thue-phong-khep-kin-o-ngo-106-nguyen-ngoc-nai-gia-27-trieuthang-2.html,Ngày đăng20 giờ trước,Giá cho thuê3.1 triệu/tháng,Diện tích35m2,"Số 24 ngõ 106 Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",20.99959,2.1,105.8247279," Chính chủ cho thuê phòng khép kín ở ngõ 106 Nguyễn Ngọc Nại, giá 3,2 triệu/tháng. Phòng rộng 35m2, có cữa sổ,có ban công, có nóng lạnh điều hoà có WC khép kín, có chổ để xe ở tầng 1. Ở riêng chủ đi về tự khoá mở. ô tô vào tận nhà.Còn phòng ở tầng 2 giá 3,1 triệu/tháng. Điện nước cả nhà dùng tự chia theo giá nhà nước. Ai có nhu cầu thuê liên hệ chủ nhà: ĐT 0945931616. "
1,https://phongtro123.com/ccmn-1-khach-1-ngu-nha-moi-phong-moi-tien-nghi-hien-dai-co-de-oto-gia-chi-3-9tr-pr585639.html,Ngày đăng15 giờ trước,Giá cho thuê3.9 triệu/tháng,Diện tích30m2,"Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",21.0221606,2.1,105.771796,"Tòa Nhà được xây dựng trong KĐT sạch sẽ hiện đại nhiều cây xanh, tòa nhà 7 tầng diện tích sàn 120m2- Phòng 1 khách 1 ngủ diện tích 35m2 Giá chỉ 3.9tr- Phòng đơn ( studio) dt 20- 25- 32m2 giá từ 3tr- 4,2- 4,4tr- Nội thất đầy đủ xách vali đến ở ngay- Phù hợp gia đình người đi làm đi công tácNhà tôi có ở Đình Thôn- Mễ Trì- Trung KínhDịch vụ cực rẻ- Điện 3,2k- Nước 22kTiết kiệm cho người đi làm mỗi tháng 200-300kLiên hệ chính chủ đến xem nhà, xin lỗi tôi không thể trả lời bằng tin nhắn. 0983 54 9191"
