stt,thoigian,giaphong,dientich,diachi
4,03/2021,1500000,110,"Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"
9,03/2021,1400000,20,"Ngõ 12e trần quốc vượng xuân t, trần quốc vượng trần thái tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội"
6,03/2021,2500000,20,"so nhà 20 ngõ 99/110/65, Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội"
0,12/2020,4700000,35,"Đường La Thành, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội"
7,03/2021,2000000,20,"173, Đường Đình Thôn, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"
5,03/2021,2500000,20,"34, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội"
8,03/2021,3000000,25,"12/14 ngõ 579 kim mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
3,03/2021,3400000,28,"14, Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
2,03/2021,2100000,16,"Ngõ 151, Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"
1,03/2021,4000000,35,"277 ngõ 275, Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"
16,03/2021,3600000,30,"56, Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
15,03/2021,4500000,51,"30, Đường Quang Tiến, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội"
13,03/2021,1500000,10,"số 10 ngách 43 ngõ quan thổ 3, Đường Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội"
19,03/2021,3700000,30,"106 Ngõ 72/2, Đường Dương Quảng Hàm, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
12,03/2021,3500000,20,"CT1B nghĩa Đô, 106 Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội"
