stt,thoigian,giaphong,dientich,vido,kinhdo,Loai,drmd,kcdc,khepkin,tiennghi,thuantien,diachi,chitiet,
350,12/2020,3400000,23,20.9807766,105.804173,Nhatang,2.8,600,Khepkin,11,7,"20 Đường Tân Triều, Xã Tân Triều, Huyện Thanh Trì, Hà Nội","có   tại số 19 ngõ 20 tân triều thông ra 300 nguyễn xiển ( thông 111-147 triều khúc và chiến thắng ). giao thông thuận tiện. gần cách trường đh cngtvt, kiến trúc, nhạc họa, thăng long, y học cổ truyền, bưu chính, nhân văn,.... ở tầng 1 và tầng 2. khép kín.  20 -23m2 ( gác ngủ ngủ được 3,4 bạn thoải mái, gác cao 1m7 )thoáng mát có cửa sổ có ánh sáng tự nhiên.không chung chủ giờ giấc tự do.đầy đủ tiện nghi: đệm, tủ quần áo, nlanh đhoa, quạt cây, bàn ghế, sofa, bàn bếp, tủ lạnh 150l.máy giặt chung. để xe miễn phí.hệ thống camera khóa vân tay an ninh cực tốt.phí dịch vụ hợp lý: điện 3,5k nước 20k/1 khối.đóng tiền nhà 1 cọc 1 tháng.chi tiết liên hệ số điện thoại  nhé",
356,12/2020,1100000,32,20.9948117,105.7901626,Nhacap,2.4,150,kkk,8,4,"ngõ 265 Đường Lương Thế Vinh, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội","khai trương  ngõ 265 lương thế vinh, thanh xuân, hà nội***************************************************************************************************** mới, đẹp, thiết kế theo mô hình mới, phù hợp với sinh viên và người đi làm cần một môi trường tiện nghi, sạch sẽ, yên tĩnh, điện nước, an ninh tốt, giá cả hợp lý để lao động và học tập.khoá thẻ từ, khóa chống cắt thuận tiện, an toàn tuyệt đối.hệ thống camera 24/7, các hệ thống cảnh báo an ninh khác.đầy đủ trang thiết bị tiện nghi (điều hòa, máy giặt, bát đũa, cây nước lóng lạnh, nồi cơm điện..).chỗ phơi phóng rộng rãi, thoáng mát, giao thông đi lại thuận tiện, gần trường học, chợcó không gian vận động, thư giãn rộng rãi: gần trung tâm nhà ở quốc hộitự do giờ giấc, chủ động thời gian.gần các trường đại học: đại học hà nội, đại học quốc gia hà nội…miễn phí internet cáp quang 100mbs, dọn dẹp vệ sinh hàng ngày.điện nước giá hợp lý.không phát sinh bất cứ chi phí gì khác.*****************************************************************************************************chỉ với hơn 1 triệu bạn đã có một không gian trọ lịch sự, văn minh, tiện nghi.đặc biệt ưu đãi tháng đầu chỉ 1100k/tháng (nhanh tay liên hệ hotline: 0967.922.910, zalo: 0916815180.",
352,12/2020,2700000,20,21.035935,105.8099499,Nhatang,2.6,400,Khepkin,4,6,"42 Đường Vĩnh Phúc, Phường Cống Vị, Quận Ba Đình, Hà Nội","có  ở phố vĩnh phúc cần ,  tầng 4 một  gần 20m2 có ban công giá 2.7tr, một  không ban công 15m2 giá 1.7tr. mỗi  có 1 bàn, 1 tủ đơn, 1 giường. nước 80k/người, điện theo công tơ 4k/số, mạng 50k/người, cách công an phường và chợ tầm 150m và nhiều siêu thị xung quanh nên rất tiện. giờ giấc thoải mái ai có nhu cầu liện hệ sđt:0358099749 hoặc đến trực tiếp xem  ạ",
358,12/2020,3000000,18,20.9863393,105.8635604,Nhatang,2.6,300,Khepkin,8,6,"Đường Tam Trinh, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","phải chuyển công tác nên  cần nhượng lại  như ảnh, bên cạnh time city.  ở tầng 3 nhà 5 tầng, không chung chủ nên giờ giấc thoải mái. ngõ đường lớn và chợ sát bên. được miễn phí wiffi, máy giặt và phí vệ sinh. wc chung với  bên, nóng lạnh, điều hoà đầy đủ, ban công rộng có thể nấu ăn hoặc nếu trên tầng 5.giá thuê  là 3triệu, cọc 1 tháng đóng 1 tháng.tks all!",
357,12/2020,6000000,50,21.0071817,105.8211972,Ccmn,2.8,200,Khepkin,12,7,"C3 Phố Thái Thịnh, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội","căn hộ tập thể c3 vĩnh hồ , nhà đẹp mới sửa, sạch sẽ khép kín, nhà riêng rộng rãi gồm 4  nhỏ, không chung chủ nhà riêng hợp với gia đình nhỏ ở. căn hộ tập thể, hàng xóm thân thiện , điện nước giá dân, tự đóng. giá thỏa thuận.  lâu dài. miễn trung gian",
354,12/2020,3000000,15,21.0046193,105.8328982,Nhatang,2.6,130,Khepkin,9,7,"21 ngõ 41 Đường Đông Tác, Phường Kim Liên, Quận Đống Đa, Hà Nội","  khép kín, đầy đủ tiện nghi. có điều hoà, tủ lạnh, quạt, giường, tủ, bình nóng lạnh.nhà vệ sinh riêng biệt.khu dân cư yên tĩnh, an ninh tốt, dân trí cao.gần nhiều trường đại học, chợ, bệnh viện.",
351,12/2020,800000,18,21.121204,105.83043,Nhacap,1.8,500,kkk,3,4,"Đường Ngọc Chi, Xã Vĩnh Ngọc, Huyện Đông Anh, Hà Nội","-  18 m^2 phù hợp ở từ 1- 2 người.- tiền  đã bao gồm cả tiền nước, tiền điện tính riêng.-  thuận tiện, cách cầu nhật tân 1,8km, cách đường 5 ( đường trường sa) khoảng 500m.- có vệ sinh khép kín, giường và bàn bếp như trong hình.- khu vực sạch sẽ,giữ vệ sinh chung. giờ giấc tự do.- có sân chơi thể thao vào buổi chiều, nhiều cây cối không gian thoáng mát vào mùa hè, ấm áp mùa đông.",
360,10/2020,4000000,30,21.0270708,105.7731158,Ccmn,2.8,600,Khepkin,12,6,"246 Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","rộng hơn 30 m 1khach 1 ngủ có đây đủ nội thât như giường tủ điều hoà nóng lanh ... _có chỗ để xe máy giặt miễn phí. giá điện nước bình dân 3,2k/số nước 20k khối. _an ninh đảm bảo có camera giám sát 24/24 khoá cổng vân tay. giờ giâc tư do không chung chủ",
386,11/2020,3000000,30,21.0047418,105.8697377,Nhatang,2.6,100,Khepkin,10,6,"254 Đường Nguyễn Khoái, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội","30m2 ,khu bếp và vệ sinh phía ngoài , đầy đủ nội thất gồm giường , tủ quần áo 3 ngăn,bộ bàn ghế tiếp khách , quạt và wifi, bếp đã có bát đĩa và giá để bát, bình nóng lạnh",
392,10/2020,3200000,20,20.9860933,105.7983636,Nhatang,2.4,150,Khepkin,12,7,"Số 1A, ngõ 49 Đường Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội","đang muốn nhượng  ở số 1a ngõ 49 triều khúc ( ngay đầu đường, ngõ to thoáng, ô tô vào được) sạch sẽ, bao gồm: điều hoà, nóng lạnh, giường, tủ, giờ giấc thoải mái, ban công trên tầng thượnggiá 3tr2, đóng 1 cọc 1,5 thángliên hệ:",
