stt,thoigian,giaphong,dientich,vido,kinhdo,khutro,drmd,kcdc,khepkin,tiennghi,thuantien,diachi,chitiet

2239,05/2017,2800000,24,21.035002, 105.791361,nhatang,6.52,75.04,khepkin,6,6,"Số 9 Dịch Vọng Hậu, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội","==>  đẹp , 25m2, khép kín, ko chung chủ!điều hòa, nóng lạnh, giường, internet, th cáp đầy đủ!--------địa chỉ: sn 9 dịch vọng hậu, cầu giấy, hà nội (ngõ 69 trần thái tông).+ tòa nhà 5 tầng,  thoáng mát, xung quanh cây xanh, chợ cách 50m.+   rộng rãi, mặt sàn khoảng 25m2, có ban công thoáng mát, vs khép kín.+ khu dân trí cao, an ninh tốt, camera 24/24h.--------giá từ:2tr8 - 3tr1 (theo nhu cầu)liên hệ ngay chủ nhà a hiếu: 090.409.4445"
952,02/2020,3000000,23,21.031671, 105.786487,nhatang,7.20,46.94,khepkin,4,6,"56 Phố Dịch Vọng Hậu, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",cho thue phong tro tu 25 -35m ko chung chủ giá tu 3-5 trieu thang máy ! giờ giấc tu do thoải mai! ko hạn che số người!
1833,04/2018,2000000,34,21.032674, 105.785776,nhatang,2.75,149.21,kkk,8,6,"Phố Dịch Vọng Hậu, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội","cho nữ sinh viên hoặc đã đi làm thuê , nhà riêng 34m2, 4 tầng, 05  ngủ, khép kín 03 nhà vệ sinh, 02 bình nóng lạnh, 02 điều hòa, rèm cửa bếp đầy đủ, tầng 01 là chỗ để xe và bếp, tâng 4 là chỗ phơi quần áo, mỗi tầng có ban công riêng.nhà ở sạch sẽ, thoáng mát, giá điện nước của nhà nước. gần các trường đh sư phạm 1; đh quốc gia hà nội, bệnh viện 198; bệnh viện y học cổ truyền; chợ xanh, chợ nghĩa tân...cực kỳ an toàn, tiện lợi.do gia đình chuyển nhà nên cần tìm người trông ở giữ nhà. giá  có điều hòa 3 triệu/tháng;  không có điều hòa 2 triệu/ tháng.liên hệ: chị thu 0913381285"
544,08/2020,2200000,25,21.0305962,105.7862149,nhatang,3.64,106.45,khepkin,4,6,"Phố Dịch Vọng Hậu, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội","nhà tôi còn 1   trong căn nhà 6 tầng. có vệ sịnh khép kín rộng rãi, có ban công thoáng mát, có nóng lạnh.: 25m2. nhà đẹp dễ bố trí đồ đạc. có thể yêu cầu lắp thêm điều hoà nếu cần.giá : 2tr2/1thánggiờ giấc đi lại thoải mái, chìa khoá riêng tự bảo quản. ưu tiên sinh viên, ưu ái cho người thật thà, sạch sẽ.trung gian môi giới miễn gọi."
110,02/2021,4099999,33,21.037662, 105.809642,nhatang,6.56,5.2,khepkin,7,7,"462 Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội","căn hộ full nội thất ở đội cấn, đầy đủ nội thất như clip, có máy giặt ban công phơi đồ ngay cửa. ngõ oto vào tận nơi, để xe tầng 1, giờ giấc tự do có thể chuyển vào luôn trước tết lì xì 500kgiá chỉ 4x (x mầm non)liên hệ xem  trực tiếp"
197,12/2020,3000000,35,21.034259, 105.811035,nhatang,3.32,89.55,khepkin,4,3,"Số 29 nghõ 60 linh lang Đường Đội Cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"," 35- 40m2 một  . mỗi tầng có 2  , nhà 4 tầng .  có nhà vệ sinh ,nóng lạnh điều hòa đầy đủ , không gian thoáng mát , rộng rãi .không chung chủ ,chỗ để xe rộng rãi.giá : 3tr-3tr5/tháng,đặt cọc 1 tháng"
3331,08/2019,1500000,17,21.036919, 105.811089,nhatang,3.46,104.80,khepkin,4,3,"Phố Đội Cấn, Ba Đình"," có thuê một căn nhà riêng 4 tầng hiện giờ tầng 3 còn một  nên  muốn , đi lại thoải mái có chìa khóa riêng điện nước theo giá nhà nước, an ninh rất tốt và yên tĩnh, riêng chủ,đc: phố đội cấn.giá 1,5 triệu/tháng, ưu tiên ở một .lh: 0987676502."
1867,01/2018,2000000,15,21.036942, 105.817049,nhatang,3.46,82.11,khepkin,6,7,"Đường Đội Cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội","nhà  còn trống phòng tầng3 trong khu chung cư mini, giá 2tr, chỗ để xe tầng 1 & wifi miễn phí, có bình nóng lạnh, máy giặt tầng 1, vs khép kín, khoá cổng vân tay, giờ giấc thoải mái.  gần bến xe bus, gần các trường đh luật, hành chính, đh nguyễn trãi..địa chỉ ngõ 343 đội cấn hà nội. bn nào có nhu cầu lhe 01253635991.cám ơn đã đọc tin!"
3511,08/2019,1500000,12,21.037629, 105.824746,nhatang,3.1,72.68,kkk,6,3 ,49 Ngọc Hà - Ba Đình - HN (hoặc đi ngõ 135 Đội Cấn vào tiện đường hơn)," ,  12m2, khu vực ngọc hà – đội cấn- đường vào ngõ rộng, thuận tiện đi lại, gần chợ- an ninh tốt, đi về có khóa riêng, không hạn chế thời gian- sân rộng, thoángđịa chỉ: 49 ngách 158/111 ngọc hà – ba đình – hà nội / hoặc đi ngõ 135 đội cấn vàogiá: 1.500.000 đ/ thángliên hệ: phương: 01634376365/ sơn: 01674481012"
3142,03/2016,1700000,18,21.037081, 105.812409,nhatang,3.52,236.69,kkk,7,6,Đội Cấn - Ba Đình - Hà Nội," đang có 1  tầng 3 cần : rộng, có 2 cửa sổ, ban công,  nhiều ánh sáng, nhà trong ngõ rộng, khu dân trí cao, an ninh tốt, yên tĩnh, môi trường sống tốt, gần chợ cống vị, chợ linh lang, gần lotte…có điều hòa, nóng lạnh, có chỗ để xe, vệ sinh chung ở tầng 2, có sân giặt giũ, phơi đồ tầng 3.giá: 1.700kđiện: 2.500d/ sốnước 70k/ ngườiinternet cáp quang : 100k"
2903,05/2016,2600000,30,21.037416, 105.813743,nhatang,3.75,50.69,kkk,7,6,"Ngõ 266, Đội Cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội","  ở khép kín cho các hộ gia đình gồm 1  ở, 1 vệ sinh, bếp.nhà ở thoáng mát, sạch sẽ, gần chợ và trường học"
2750,07/2016,1200000,12,21.037695, 105.811708,nhatang,6.35,13.23,khepkin,3,6,"Đội Cấn, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội","  khép kín, giá 1,2tr. điện 4k/số, nước 20k/số. khu đông dân cư, an ninh tốt, giờ giấc thoải mái cho người đi làm, gia đình."
2611,09/2016,1800000,21,21.035096,105.822761,nhatang,3.24,30.02,khepkin,7,5,"204d, Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"," rộng 21m2 t4 thoáng mát vệ sinh khép kín, có chỗ nấu ăn phơi giặt, nóng lạnh, internet, quạt trần, chăn ga gối đệm, cách mặt đường đội cấn 30m. cho nữ đi học hoặc làm thuê giá 1800k/tháng. liên hệ: chị hương sđt: 0904350548"
1611,12/2018,3500000,20,21.035055, 105.824365,nhatang,6.56,5.02,khepkin,6,8,"Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội","(+) :- số 1, ngõ 176 đội cấn, gần chợ và các cửa hàng , quán ăn, các trung tâm mua sắm- ngay bảo tàng b.52, cách tây hồ 1 km(+) tiện ích:full đồ: nóng lạnh, giường, tủ, đệm- bàn trang điểm (cửa sổ thoáng)- quạt trần- có  khách và nấu ăn tầng 1 (đầy đủ kệ bếp bàn bếp)- chung máy giặt(+) giá: 3tr200 – 3tr500 (tất cả đều 20m2)điện 4k/ số-nước 100k/ người - mạng 100k/  - vệ sinh 25k/ ngườichính chủ: hậu 0384187330"
2508,10/2016,2500000,22,21.033746, 105.825130,nhatang,3.35,126.52,khepkin,3,6,"Đội Cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội","dt 22m2 rộng rãi thoáng mát. khu vực trung tâm thuận tiện đi lại,an ninh tốt.  có điều hoà cáp net đầy đủ, có giường.  t3 xe để tầng 1. đi lại thoải mái."
1858,05/2018,1300000,10,21.033871, 105.829870,nhatang,3.65,66.52,kkk,2,5,Số 113 ngõ 68 Đội Cấn,"nhà 4 tầng  tầng 1 và 4. có chỗ để xe miễn phí, internet điện và nước theo giá nhà nước. không chung chủ.đc: số 113 ngõ 68 đội cấn"
1893,02/2018,3000000,30,21.036612, 105.808514,nhatang,3.65,35.52,kkk,6,6,"518 Đường Đội Cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"," tầng 3 nhà 3 tầngcó sẵn đầy đủ tiện nghi, tivi, tủ lạnh, điều hòa, máy giặt, bếpsạch sẽ , chỉ việc đến ở"
1671,06/2018,4500000,30,21.034777, 105.829859,nhatang,6.56,7.6,khepkin,5,7,"75 Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội","nhà trong ngõ yên tĩnh, 2 xe máy đi thoải mái, gần quảng trường ba đình, chợ thực phẩm, lotte.  tầng 2, rộng 30m2, full đồ đạc, khép kín, nấu ăn tầng 1, máy giặt sân thượng.thoải mái giờ giấc, không chung chủ, rất phù hợp cặp vợ chồng hay người đi làm"
1714,10/2018,3500000,40,21.038958, 105.814271,nhatang,2.84,140.70,khepkin,5,4,"Số 3 ngách 379/24 Đội Cấn, Liễu Giai, Ba Đình, Hà Nội","nhà có  40m2 gồm:1 , 1 gác sép, 1 bếp, 1 wc, 1 sân nhỏ để xegần công viên, gần trường học, gần chợ ... đường ô tô đi vào cách 10mnhà ở khu vực dân trí cao, an ninh tốtgiá điện, nước theo quy địnhmọi chi tiết liên hệ chính chủ theo số 0353054069"
1257,10/2019,2450000,17,21.037724, 105.816894,nhatang,5.27,110.81,khepkin,7,8,"343 Đội Cấn Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"," cần nhượng lại  vào cuối tháng này ở ngõ 343 đội cấn. đầy đủ tiện nghi (nóng lạnh, điều hòa, gường tủ, quạt, máy giặt), không chung chủ, mở khóa bằng vân tay, có chỗ để xe (không mất phí).điện: 3.5k/số.nước: 70k/người.có thể chuyển vào ở từ ngày 29 tháng này."
1179,11/2019,3200000,25,21.036138, 105.820268,nhatang,5.58,40.70,khepkin,4,4,"25/279 Đường Đội Cấn, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"," đang còn 1  trống tại 25/279 đội cấn cuối tháng vào ở được.- đủ đồ nên các bạn chỉ việc xách đồ vào ở .- điện nước giá dân cực rẻ .-   giá 3tr2 đóng 1 cọc 1 .- nhà sạch sẽ hàng tuần có người dọn vệ sinh- có máy giặt và chỗ phơi đồ thoáng.- cách mặt phố chỉ 50m, ô tô tải đậu gân nhà đượcgọi trực tiếp cho  0979.921.197"
1122,02/2020,1300000,24,21.035666, 105.830344,nhatang,3.12,40.70,khepkin,2,6,"47 Đường Đội Cấn, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"," 24m2, điện nước tính giá dân, có đồng hồ theo dõi. khu vực dân cư an toàn, yên tĩnh, gần chợ dân sinh và bệnh viện. có chỗ để xe,  bếp, đồ đạc gia dụng chưa lắp đặt. cần  gấp ra tết."
726,06/2020,1700000,14,21.036550, 105.817817,nhatang,3.28,110.81,khepkin,6,6,"14 Đường Đội Cấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội","cần   giá rẻ đẹp ở đội cấn, quận ba đình - hà nội+ nhà thoáng đẹp. an ninh* địa chỉ: số nhà 14 ngách 47 ngõ 343 phố đội cấn - ba đình - hà nội* tiêu chuẩn:  đẹp, giờ giấc tự do, chổ để xe an toàn sân rộng rãi phơi quần áo, công tơ điện riêng* có internet mạnh* ưu tiên sinh viên và hộ gia đình trẻ thuê*  mỗi  : 14m2.* giá: 1.700.000d/ tháng. nước: 70k/1 người điện 4k/số phí vs: 20k/ngườiliên hệ: 0965120399địa chỉ số nhà 14 ngách 47 ngõ 343 phố đội cấn - ba đình - hà nộicọc 1.000.000"
1084,11/2019,1300000,30,21.036836, 105.823392,nhatang,2.56,210.31,khepkin,7,5,"149A ngõ 209 Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội","chính chủ   ở ghép tại số 149a ngõ 209 đội cấn, nhà mới siêu đẹp hình thật 100%nhà đầy đủ tiện nghi hiện đại: tủ lạnh, nóng lạnh, điều hòa, giường, tủ quần áo, bếp gas, bàn ăn,  tắm víp, wifi, lò vi sóng, máy giặt, cửa khóa an toàn camera giám sát 24/24. khoái cái giờ giấc tự do. nói chung là không thiếu cái gì. nếu chung nhau về ở tầm 1,3 - 1,6tr mỗi người / tháng, với tầm tiền này khó mà tìm được  nào thích hợp hơn.được cái đi đâu cũng tiện, xe buýt cách nhà 120m, gần lotte, gần vincom, lăng bác, siêu thị vinmart. còn vài chỗ thôi, các bạn muốn ở chung share  thì liên hệ  nhé : ms. huyền vinh 0869 166 956"
