giaphong,dientich,vido,kinhdo,loai,drmd,kcdc,loaiwc,tiennghi,thuantien
2600000,26.0,21.0506076,105.7909724,nhatang,3.2,350.0,khepkin,8,6
3500000,25.0,21.0764867,105.8147999,ccmn,4.8,5.0,khepkin,13,9
3700000,25.0,21.0695076,105.8378366,Ccmm,3.0,400.0,khepkin,14,10
3300000,25.0,20.9911163,105.8483697,ccmn,2.1,150.0,khepkin,13,8
3000000,40.0,21.0232535,105.7741861,ccmn,2.3,400.0,khepkin,12,10
2000000,35.0,21.0840545,105.9036039,nhatang,3.2,5.0,khepkin,6,5
3500000,25.0,21.0550926,105.8088761,Ccmm,3.6,100.0,khepkin,14,10
2000000,28.0,21.009421,105.867881,Nhatang,4.3,38.2,Khepkin,2,6
3500000,30.0,21.067852,105.792677,ccmn,3.8,126.2,Khepkin,9,6
3000000,25.0,21.024281,105.773911,ccmn,6.3,2.5,Khepkin,6,5
1500000,12.0,20.984578,105.793788,nhatang,9.9,4.0,Khepkin,5,8
3600000,30.0,20.978783,105.791615,nhatang,3.2,3.0,Khepkin,8,9
3200000,25.0,20.980013,105.822345,nhatang,4.1,79.7,Khepkin,6,6
2000000,30.0,21.001042,105.75059,nhacap,6.0,6.8,Khepkin,4,7
1800000,22.0,20.961316,105.839269,nhacap,1.9,155.3,kkk,1,4
1300000,15.0,20.955716,105.842076,nhacap,2.8,129.9,kkk,2,4
2000000,23.0,21.089065,105.792758,nhatang,2.2,104.1,khepkin,8,4
6000000,60.0,21.072514,105.813674,nhatang,2.1,78.0,kkk,6,10
3000000,19.0,21.003608,105.846088,nhatang,4.9,117.8,kkk,6,10
3900000,30.0,20.990801,105.81546,nhatang,4.0,180.6,Khepkin,10,8
2500000,25.0,20.986776,105.814256,nhacap,1.8,32.5,khepkin,8,3
1500000,10.0,21.045116,105.783296,nhatang,3.8,103.2,khepkin,7,5
1700000,15.0,21.017537,105.829508,nhatang,7.0,2.5,khepkin,4,7
2000000,15.0,21.010923,105.822308,nhatang,6.5,3.0,khepkin,6,5
2000000,15.0,21.034139,105.831339,nhacap,1.7,40.0,khepkin,9,3
