nam,thang,giaphong,dientich,vido,kinhdo,loai,drmd,kcdc,loaiwc,giuongtu,banghe,nonglanh,dieuhoa,tulanh,maygiat,tivi,bep,gacxep,thangmay,bancong,chodexe
2021,4,3600000,30.0,20.997043,105.822743,Ccmn,4.5,65.0,Khepkin,1,1,1,1,0,0,0,1,0,0,1,1
2021,4,3000000,20.0,21.009712,105.795407,Nhatang,3.5,96.0,Khepkin,1,1,1,1,1,0,0,1,0,0,1,1
2021,4,4200000,36.0,21.037109,105.800082,Ccmn,2.2,145.0,Khepkin,1,1,1,1,1,1,0,1,0,0,1,1
2021,4,3200000,20.0,20.983192,105.801814,Ccmn,1.9,110.0,Khepkin,1,1,0,1,1,1,0,1,0,0,0,1
2021,4,3000000,27.0,20.984689,105.797868,Ccmn,2.5,123.0,Khepkin,1,1,0,0,0,0,0,1,1,0,1,0
2021,4,3300000,28.0,21.030351,105.773164,Ccmn,2.5,103.0,Khepkin,1,0,0,1,1,0,0,1,0,0,0,1
2021,4,5000000,35.0,21.010186,105.777306,Ccmn,3.0,60.0,Khepkin,1,1,1,1,1,1,0,1,0,1,1,1
2021,4,2600000,18.0,20.98683,105.817048,Nhatang,4.2,299.0,Khepkin,1,1,1,1,0,0,0,0,0,0,1,1
2021,4,3000000,20.0,21.041405,105.804344,Nhatang,2.5,65.73,Khepkin,1,0,1,1,0,0,0,0,0,0,0,1
2021,4,2000000,16.0,20.983685,105.768311,Ccmn,2.2,102.6,Khepkin,0,0,1,1,0,1,0,0,1,0,0,1
2021,4,3500000,34.0,20.987195,105.86217,Nhatang,2.5,89.86,Khepkin,0,0,1,1,0,0,0,0,0,0,0,1
2021,4,2300000,15.0,21.04375,105.751507,Nhacap,2.5,48.0,Khepkin,1,0,1,1,0,0,0,0,0,0,0,1
2021,4,3000000,30.0,20.989147,105.8445,Ccmn,3.0,120.0,Khepkin,0,0,0,1,0,0,0,0,0,0,0,0
2021,4,3000000,20.0,20.984239,105.793567,Nhatang,3.8,20.0,Khepkin,1,1,1,1,1,1,0,1,0,0,0,1
2021,4,2500000,18.0,21.023207,105.808004,Nhatang,5.2,2.0,Khepkin,1,1,1,0,1,0,0,1,0,0,0,1
2021,4,2800000,35.0,20.998645,105.82466,Nhatang,3.0,85.0,Khepkin,0,0,1,1,0,0,0,0,0,0,0,1
2021,4,3500000,25.0,20.988144,105.81281,Nhatang,5.5,2.0,Khepkin,1,1,1,1,1,1,0,1,0,0,0,0
2021,4,1200000,15.0,21.028358,105.775485,Nhatang,5.5,4.0,KKK,1,0,0,0,0,0,0,0,0,0,0,0
2021,4,3200000,20.0,21.009237,105.796901,Nhatang,4.0,42.0,Khepkin,0,0,1,1,0,1,0,1,0,0,0,1
2021,4,4500000,25.0,21.047763,105.845833,Nhatang,3.6,188.0,Khepkin,1,1,1,1,0,0,0,1,0,1,0,0
2021,4,3200000,25.0,20.992904,105.776659,Nhatang,3.2,90.0,Khepkin,1,1,1,0,0,0,0,1,0,1,1,1
2021,4,3000000,30.0,21.083386,105.773739,Ccmn,5.5,4.0,Khepkin,1,1,1,1,0,1,0,0,0,0,1,1
2021,4,2300000,14.0,20.978092,105.7982,Nhatang,3.5,91.0,KKK,1,1,1,1,0,1,0,0,0,0,0,1
2021,4,3000000,25.0,20.983049,105.800786,Ccmn,3.5,2.0,Khepkin,1,1,0,0,1,1,0,1,0,0,0,0
2021,4,2400000,20.0,20.969195,105.786983,Nhatang,4.5,80.0,Khepkin,1,1,0,0,1,1,0,1,0,0,0,0
2021,3,2600000,26.0,21.055867,105.785115,Nhatang,5.0,2.0,Khepkin,0,0,1,0,0,1,0,0,0,0,0,0
2021,3,3500000,25.0,21.076443,105.81496,Ccmn,4.8,6.2,Khepkin,1,0,1,0,1,0,1,0,0,1,0,0
2021,3,3700000,25.0,21.062474,105.833805,Ccmn,3.0,124.0,Khepkin,1,0,1,1,1,1,1,1,0,0,0,1
2021,3,3300000,25.0,20.992125,105.846684,Ccmn,2.1,204.0,Khepkin,1,1,1,0,0,0,0,1,1,0,0,0
2021,3,3000000,40.0,21.022537,105.771257,Ccmn,2.2,311.0,Khepkin,1,0,1,1,1,1,0,1,0,0,1,1
2021,3,2000000,35.0,21.080078,105.909014,Nhatang,2.7,80.0,Khepkin,1,0,1,0,1,1,0,1,0,0,0,0
2021,3,3500000,25.0,21.076172,105.815342,Ccmn,4.8,3.0,Khepkin,1,0,1,0,1,0,1,0,0,1,0,0
2020,12,2200000,28.0,21.009421,105.867881,Nhatang,3.2,38.0,Khepkin,1,0,0,0,0,0,0,1,0,0,1,0
2021,1,3500000,30.0,21.067852,105.792677,Ccmn,3.2,126.2,Khepkin,1,0,1,1,0,0,0,1,0,1,0,1
2021,1,3000000,25.0,21.024281,105.773911,Ccmn,6.3,2.5,Khepkin,1,0,1,0,0,0,0,0,0,0,0,1
2021,1,1500000,12.0,20.984578,105.793788,Nhatang,9.9,4.0,Khepkin,0,0,0,1,0,1,0,0,0,0,0,0
2021,1,3600000,30.0,20.978783,105.791615,Ccmn,3.5,3.0,Khepkin,0,0,1,1,0,1,0,0,0,1,0,1
2021,1,3200000,25.0,20.980461,105.821601,Nhatang,2.5,92.0,Khepkin,0,0,1,1,0,1,0,1,0,0,0,0
2021,1,2000000,30.0,21.001042,105.75059,Nhacap,6.0,6.8,Khepkin,0,0,0,0,0,0,0,0,1,0,0,0
2021,1,1800000,22.0,20.961316,105.839269,Nhacap,2.0,155.3,KKK,1,0,1,0,0,0,0,0,0,0,0,0
2021,1,1300000,15.0,20.955716,105.842076,Nhacap,2.8,129.9,KKK,1,0,0,0,0,0,0,0,0,0,0,1
2021,1,2000000,23.0,21.089065,105.792758,Nhatang,2.2,104.1,Khepkin,1,1,1,1,0,0,0,1,1,0,0,1
2021,1,6000000,60.0,21.072514,105.813674,Nhatang,2.2,78.0,KKK,1,0,1,1,0,0,0,1,0,1,0,0
2021,1,3000000,19.0,21.003608,105.846088,Nhatang,4.5,117.8,KKK,1,1,1,1,0,0,0,1,0,0,0,1
2021,1,3900000,30.0,20.990801,105.81546,Nhatang,4.0,180.6,Khepkin,1,1,1,1,0,1,0,1,0,1,1,1
2021,1,2500000,25.0,20.986776,105.814256,Nhacap,1.8,32.5,Khepkin,1,1,1,1,1,1,0,1,0,0,0,0
2021,1,1500000,10.0,21.045116,105.783296,Nhatang,3.5,103.2,Khepkin,1,0,1,1,0,1,0,0,1,0,0,1
2021,1,1700000,15.0,21.017537,105.829508,Nhatang,7.0,2.5,Khepkin,0,0,0,1,0,0,0,0,0,0,0,1
2021,2,2000000,15.0,21.010923,105.822308,Nhatang,6.5,3.0,Khepkin,0,0,1,1,0,0,0,0,0,0,0,0
2021,4,2000000,15.0,21.034139,105.831339,Nhacap,1.9,40.0,Khepkin,1,0,1,1,1,0,0,0,0,0,0,0
2021,3,1200000,48.0,20.986503,105.861114,Nhatang,7.2,3.0,Khepkin,0,0,1,1,0,1,0,1,0,0,0,1
2021,2,1400000,20.0,21.054054,105.863196,Nhacap,2.8,205.0,Khepkin,0,0,0,0,0,0,0,1,0,0,0,1
2021,3,2800000,21.0,20.99252,105.851992,Nhatang,1.9,23.6,Khepkin,1,0,1,1,0,0,0,0,0,0,1,1
