stt,thoigian,giaphong,dientich,vido,kinhdo,loai,drmd,kcdc,loaiwc,tiennghi,thuantien,giuongtu,banghe,nonglanh,dieuhoa,tulanh,maygiat,tivi,bep,gacxep,thangmay,bancong,chodexe,diachi,chitiet
4,04/2021,3000000,20.0,21.041405,105.804344,Nhatang,2.5,65.73,Khepkin,7,4,1,0,1,1,0,0,0,0,0,0,0,1,"số 14 ngõ 142 Đường Nguyễn Đình Hoàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội","Nhà mình có phòng cho thuê khu vực Nghĩa Đô Cầu Giấy nhà mới xây khép kín không chung chủ+Địa chỉ tại SỐ 14 NGÕ 142 NGUYỄN ĐÌNH HOÀN ( NGÕ 1 HOÀNG QUỐC VIỆT)+Diện tích trên 20m2 trang bị điều hòa,nóng lạnh vs khép kín đầy đủ thiết bị có giường tủ chỉ cần dọn đến ở luôn+Nhà mới xây thoáng có sân phơi rộng,an ninh đảm bảo không chung chủ giá 3tr / phòng+Camera an ninh 24/7 chỗ để xe free tầng 1Liên hệ chủ nhà: A Thanh:0967519828"
1,04/2021,2000000,16.0,20.983685,105.768311,Ccmn,2.2,102.6,Khepkin,6,2,0,0,1,0,0,1,0,0,1,0,0,1,"36A Ngõ 1, Vạn Phúc, Hà Đông, Hà Nội 10000, Vietnam","Cho thuê phòng trọ mô hình chung cư mini:Vệ sinh khép kín, có wifi, camera, Có chỗ để xe miễn phí, truyền hình cáp, có Bình nóng lạnh, điều hoà, máy giặt.Địa chỉ: Đại Mỗ, Từ Liêm (Gần ngã 4 Tố Hữu, Vạn Phúc)Ưu tiên hộ gia đình ơn lâu dài.Liên hệ : Mr Thắng Sđt 0915310782, 0947975798 Chủ nhà)PS: Còn 1 phòng:- 01 phòng diện tích 18m2, gác xép 6m2,"
0,04/2021,3500000,34.0,20.987195,105.86217,Nhatang,2.5,89.86,Khepkin,6,4,0,0,1,0,0,0,0,0,0,0,0,1,"số 11 ngõ 299/56 đường Hoàng Mai, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội","Chính chủ cho thuê phòng tầng 3 Địa chỉ: số 11 ngõ 299/56 đường Hoàng Mai. Gần Minh Khai, Đền Lừ, Tam Trinh.- Phòng khép kín, có điều hoà, nóng lạnh, full đồ như ảnh- Nhà không chung chủ, có chỗ để xe, nấu ăn trong phòng có 2 cửa sổ, phơi quần áo tầng thượng.- Lh mình xem phòng: 0934208866"
3,04/2021,2300000,15.0,21.04375,105.751507,Nhacap,2.5,48.0,Khepkin,7,4,0,0,0,0,0,0,0,0,0,0,0,1,"Số nhà 10, ngõ 40 Phú Kiều, Phường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội","Diện tích 15 m2. Gần trợ, gần quốc lộ 32, lối đi lại thuận tiện nhiều ngõ liên thôngCó chỗ để xe miễn phí, giờ giấc tự do, Có camera an ninh 24/24"
7,04/2021,3000000,30.0,20.989147,105.8445,Ccmn,3.0,120.0,Khepkin,5,3,0,0,0,1,0,0,0,0,0,0,0,0,"57/35 Đường Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","Cho thuê chung cư mini tại Số 57 Ngõ 35 Phố Nguyễn An Ninh - Tương Mai - Hoàng Mai – Hà Nội.(Chính chủ không qua trung gian)- Phòng đẹp, thiết kế tiện dụng, thoáng mát, công trình khép kín, riêng tư độc lập, đảm bảo xem là thích.- Còn phòng 20-30m2 có điều hòa thoáng mát .- Nhà vệ sinh khép kín xịn, tiện nghi, có Nóng lạnh.- Điện, nước, internet giá rẻ, công tơ điện riêng. - Có cáp Tivi, camera 24/24 yên tâm an ninh.- Để xe tầng 1 tiện lợi miễn phí, Ô tô đỗ đón tận cửa.- Giá: 3,0-3,8 tr/tháng ( thanh toán 2 tháng một lần, cọc 1 tháng) .- Địa Chỉ: Số 57 Ngõ 35 Phố Nguyễn An Ninh – Hà Nội. Liên hệ gọi điện hẹn trước thời gian xem phòng vào khoảng 11h-14h sáng và 17h-19h chiều, ngoài giờ đó thì gọi điện lhe trước. : Chị Trang 0934.672.806"
2,04/2021,3000000,20.0,20.984239,105.793567,Nhatang,3.8,20.0,Khepkin,8,5,1,1,1,1,1,1,0,1,0,0,0,1,"55 Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội","- Nhà đẹp full nội thất - Chỉ việc mang vali vào ở.- Phòng đẹp,sạch sẽ thoáng mát gần các trường ĐH : SPNT Trung UơngCNGTVT,kiến trúc,bưu chính,ĐH Hà Nội,...- Giá 2.8tr-3tr-3tr2/tháng. Đóng 1 cọc 1 tháng (ở được luôn).- Thang máy tốc độ caoMô tả chung.- Full nội thất điều hòa, nóng lạnh,tủ lạnh,giường, tủ, phơi đồ,bàn học ,để xe miễn phí, camera an ninh, máy giặt chung, kệ bếp.- Chính chủ miễn môi giới.- Điện 3,5k/ số.- Nước 25k/số.- Hàng tuần có người qua dọn vệ sinh chung cả nhà thường xuyên.- Không ở chung chủ. Giờ giấc đi lại thoải mái, tiếp bạn bè vô tư miễn là lịch sự - Hợp đồng lâu dài không tăng giá, chu kỳ đóng tiền nhà 1 tháng 1 lần, đặt cọc 1 tháng tiền nhà"
0,04/2021,2500000,18.0,21.023207,105.808004,Nhatang,5.2,2.0,Khepkin,9,4,1,1,1,0,1,0,0,1,0,0,0,1,"32 Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội","Mình thuê 1 căn nhà riêng để kinh doanh nhưng do ảnh hưởng của dịch Covid nên mình chuyển hướng công việc. Nhà đã lắp đặt ĐẦY ĐỦ TIỆN NGHI SẴN SỬ DỤNG: Máy giặt, tủ lạnh, nóng lạnh, bếp từ đôi, lò vi sóng, lò nướng, giường tủ - kệ - bàn ghế làm việc,….Có nhà bếp & Phòng ăn riêng + Phòng ngủ riêng + WC + Ban công rộng phơi đồ + Nguyên tầng 1 làm phòng khách & Khu để xe. Nhà riêng không chung chủ nên ăn ở đi lại rất thoải mái tự do.Nhà cạnh hồ đường Chùa Láng đối diện trường ĐH Ngoại thương và Ngoại giao rất thuận tiện & sạch sẽ, hướng Đông Nam mát mẻ. Địa chỉ: 32 Chùa Láng, Đống Đa, HN-Giá: 2triệu/phòng/tháng.-Điện nước tính giá nhà nước rất rẻHiện mình còn phòng trống muốn cho thuê lại để đỡ gánh nặng chi phí hàng tháng. Mình đã thanh toán 1 cục 3 tháng & cọc 1 tháng. Bạn nào có nhu cầu thì liên hệ mình xem nhà nhé!Ms. Hoa: 0397.062.037 (đt+zalo) Hoặc 0386241935"
5,04/2021,2800000,35.0,20.998645,105.82466,Nhatang,3.0,85.0,Khepkin,3,3,0,0,1,0,0,0,0,0,0,0,0,1,"24/106 Đường Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","Chính chủ cho thuê phòng khép kín ở ngõ 106 Nguyễn Ngọc Nại, giá 2,8 triệu/tháng. Phòng rộng 30m2, có cữa sổ, có nóng lạnh điều hoà có WC khép kín, có chổ để xe ở tầng 1.Ở riêng chủ đi về tự khoá mở. ô tô vào tận nhà.Còn phòng ở tầng 4 giá 2,8 triệu/tháng. Điện nước cả nhà dùng tự chia theo giá nhà nước.Ai có nhu cầu thuê liên hệ chủ nhà: ĐT 0945931616."
7,04/2021,3500000,25.0,20.988144,105.81281,Nhatang,5.5,2.0,Khepkin,10,4,1,1,1,0,1,1,0,1,0,0,0,0,"420 Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Chính chủ còn duy nhất 1 phòng full đồ, khép kín ở 420 #KhươngĐình, #ngãtưsở Nội thất: giường, tủ, điều hoà, nóng lạnh, tủ lạnh, bàn bếp, máy giặt chung- Hàng tuần có người dọn vệ sinh chung- Không chung chủ, giờ thoải mái- Phòng khép kín nhà 4,5 tầng- Điện 3,5k, Nước 80k/ng- Cọc 1 đóng 1️Lh: 0368.837.862"
5,04/2021,1200000,15.0,21.028358,105.775485,Nhatang,5.5,4.0,KKK,1,2,0,0,0,0,0,0,0,0,0,0,0,0,"Số 1 Đường mĩ Đình, Quận Nam Từ Liêm, Hà Nội","Cư Xá Mỹ ĐìnhTổng hợp phòng trọ giá rẻ tại Cư Xá- Phòng không khép kín 1200k tầng 5 rộng 10m2- Phòng khép kín 1tr7 tầng 3 rộng 16m- Phòng khép kín 1tr5 tầng 3 rộng 15m2- Phòng khép kín 1tr3 tầng 4 rộng 13m2- Phòng không khép kín 1tr tầng 3 rộng 10m2* Mô tả chung+ Camera an ninh các hành lang+ Giờ giấc thoải mái+ Bảo vệ trực 24/24+ Tạp vụ dọn vệ sinh hàng ngày+ Đóng tiền tháng 1 cọc 1 thángGiá: 800.000 đ / thángĐịa chỉ: Số 1 đường Mỹ Đình( Đối diện cổng bốc vác bến xe mĩ đìnhLiên Hệ anh Việt: 0966663256Đ/c: Số 1 Đường Mỹ Đình, Mỹ Đình, Từ Liêm, Hà Nội"
