nam,thang,giaphong,dientich,vido,kinhdo,loai,drmd,kcdc,loaiwc,giuongtu,banghe,nonglanh,dieuhoa,tulanh,maygiat,tivi,bep,gacxep,thangmay,bancong,chodexe
2021,5,3200000,40,20.9714392,105.8314573,ccmn,2.3,165.6,Khepkin,1,0,1,1,0,0,0,1,0,0,1,1
2021,5,2100000,14,20.9835607,105.84986,nhatang,2.4,35.5,kkk,0,1,1,0,0,0,0,0,0,0,1,1
2021,5,2300000,25,20.9667686,105.8132932,nhatang,2,719,Khepkin,0,0,0,0,0,0,0,0,0,0,0,1
2021,5,2000000,18,20.9888013,105.863178,nhatang,2.6,9,Khepkin,1,0,1,1,0,0,0,0,0,0,0,1
2021,5,1500000,13,20.9819922,105.8797389,nhatang,2,16,Khepkin,1,1,1,1,0,0,0,1,0,0,0,1
2021,5,1800000,19,20.9694435,105.8421687,nhatang,4.8,63,kkk,0,0,0,0,0,0,0,1,0,0,0,1
2021,5,2700000,30,20.9834847,105.8442261,nhatang,4.8,18,kkk,0,0,1,1,0,0,0,0,0,0,1,1
2021,5,1400000,13,20.9588491,105.821574,nhatang,2.2,37,kkk,0,0,1,1,0,0,0,1,0,0,0,0
2021,5,4000000,30,20.9773311,105.8359618,ccmn,2.1,3,Khepkin,1,1,1,1,0,0,0,1,0,0,1,1
2021,5,3200000,30,20.9713546,105.8353495,ccmn,1.9,9,Khepkin,1,1,1,1,0,0,0,0,0,0,1,1
2021,5,2000000,18,20.9795338,105.8202444,nhatang,2,30,Khepkin,0,0,1,0,0,1,0,0,1,0,1,1
2021,5,2900000,40,20.9813049,105.8202629,nhatang,2,24,Khepkin,1,1,0,0,0,0,0,1,1,0,0,1
2021,5,3800000,35,20.9885384,105.8568166,nhatang,1.7,142,Khepkin,1,1,1,1,0,0,0,0,0,0,1,1
2021,5,3000000,30,20.9827063,105.8274629,nhatang,2.2,30,Khepkin,1,1,1,1,0,0,0,1,0,0,1,1
2021,5,2400000,28,20.9764148,105.8353999,nhatang,2.1,47,Khepkin,1,0,1,1,0,1,0,0,0,0,0,1
2021,5,2500000,18,20.9715441,105.8353251,nhatang,1.8,20,kkk,1,1,1,1,1,1,0,1,0,0,0,1
2021,5,1500000,23,20.9894262,105.8648175,nhatang,1.8,32,kkk,1,1,1,0,0,0,0,0,0,0,0,1
2021,5,2000000,25,20.982092,105.879632,nhatang,1.8,5.5,kkk,1,0,1,1,1,1,0,1,0,0,0,0
2021,5,3600000,30,20.9885384,105.8568166,nhatang,1.7,145,Khepkin,1,1,1,1,1,1,0,0,0,0,1,1
2021,5,1700000,20,20.9871561,105.8470735,nhacap,2.2,19,Khepkin,1,0,0,0,0,0,0,0,1,0,0,0
2021,5,3000000,40,20.9863393,105.8635604,nhatang,1.8,4.5,Khepkin,0,1,1,1,0,0,0,0,0,0,1,1
2021,5,2700000,25,20.9589351,105.8422932,nhatang,4.5,10,Khepkin,0,0,0,0,0,0,0,0,0,0,1,1
2021,5,2300000,20,20.9829586,105.8417752,nhacap,4,80,kkk,1,1,1,1,0,0,0,1,0,0,0,0
2021,5,2500000,22,20.9876118,105.8591608,nhacap,1.7,7.5,Khepkin,0,0,1,1,0,1,0,1,0,0,1,1
2021,5,2200000,18,20.9837408,105.8500372,nhatang,2.1,8,kkk,0,1,1,1,1,0,0,0,0,0,0,1
2021,5,1400000,20,20.9988141,105.887429,nhacap,2.4,43,Khepkin,1,0,0,0,0,0,0,0,0,0,0,0
2021,5,2300000,20,20.9788316,105.8209702,nhacap,1.9,28,Khepkin,0,0,1,1,0,0,0,1,1,0,0,1
2021,5,2500000,25,20.9663813,105.8377281,nhatang,2,25,Khepkin,1,0,1,1,0,0,0,1,0,0,0,1
2021,5,1600000,15,20.9775078,105.8386296,nhacap,4.2,126,Khepkin,1,0,1,1,0,0,0,0,0,0,0,1
2021,5,1500000,37,20.9825571,105.8403207,nhatang,4.2,50,kkk,1,0,0,1,0,0,0,1,1,0,0,0
