stt,thoigian,giaphong,dientich,vido,kinhdo,loai,drmd,kcdc,loaiwc,tiennghi,thuantien,giuongtu,banghe,nonglanh,dieuhoa,tulanh,maygiat,tivi,bep,gacxep,thangmay,bancong,chodexe,diachi,chitiet
2,05/2021,2000000,20.0,20.996704, 105.820984,Nhatang,2.3,73.0,Khepkin,1,2,1,1,0,0,0,0,0,0,0,0,1,1,"số 22 ngõ 146/11/8 Vương Thừa Vũ, Khương Trung, Thanh Xuân, Hà Nội","Tôi là chủ nhà, đang còn 1-2 phòng đủ đồ, đẹp, thoáng như phòng khách sạn 20/23m2 trong nhà 4 tầng số 22 ngõ 146/11/8 Vương Thừa Vũ. - Chỉ cách mặt đường Vương Thừa Vũ 1 đoạn ngắn, rất tiện đi lại ra Ngã Tư Sở, Trường Chinh. - Điều hòa, nóng lạnh đầy đủ. Vệ sinh riêng theo tầng đẹp, xịn. - Sàn nhà lát gỗ sạch sẽ mát mẻ về mùa hè, ấm áp về mùa đông. - Có sẵn giường, tủ, quạt nên không tốn tiền mua sắm thêm. - Điện nước giá nhà nước nên rất rẻ - Không ở cùng chủ, được tự do đi về. - Có ban công hóng mát, phơi quần áo. - Sân thượng thoáng mát, rộng rãi phơi đồ thoải mái. - Chỗ để xe rộng rãi trong nhà, an toàn tuyệt đối. - Khu vực yên tĩnh, dân trí cao, an ninh rất tốt. - Chính chủ nên không phải trả phí cho môi giới Giá 2.2/2.7tr. Ưu tiên người đã đi làm, sinh viên nữ. MTG."
4,05/2021,1900000,20.0,20.988763, 105.874920,Nhatang,2.8,254.0,Khepkin,1,2,1,1,1,1,0,0,0,0,0,0,0,1,"179/127 Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội","PHÒNG MỚI, NGÕ 179/127 vĩnh hưng , cách ĐẠI HỌC MỞ 100M fuldồ : Giường ,tủ ,nóng lạnh, đây đủ ...ace đến chỉ việc ở thôi .  Miễn phí : máy giặt ,rác , gửi xe , wife...giờ giấc tự do . giá : 1.9TR - 2,2TR , Cách trường ĐH HUT và ĐH kinh doanh CN , ĐH MỞ VĨNH HƯNG 100M . - LH : .giờ giấc tự do. - 🏠Đc : NGÕ 179/127 Vĩnh hưng , Hoàng mai ."
5,05/2021,1400000,15.0,20.984589, 105.848585,Nhacap,2.5,90.0,Khepkin,1,2,0,0,0,0,0,0,0,0,1,0,0,1,"sn 26 ngõ 123 Tân Mai, Hoàng Mai, Hà Nội","Cho thuê phòng trọ sinh vieen, người đi làm, chính chủ tại ngõ 123 Tân Mai, Hoàng Mai, Hà Nội. Phòng trọ khép kín,mới sơn, sạch đẹp, gần đường, gần chợ, gần bến xe, xe buýt đầu ngõ, thuận tiện cho việc đi lại xin liên hệ : 094533 4545 Chi Hòa"
6,05/2021,900000,14.0,21.054946, 105.783573,Nhacap,2.2,140.0,KKK,1,2,1,0,0,0,0,0,0,0,0,0,0,0,"60 Ngõ 297 Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội","Cho Thuê Dãy Phòng trọ 14m2 giá rẻ, chi tiết: * Vị trí - Giao nhau giữa Ngõ 297 Trần Cung, Ngõ 599 Phạm Văn Đồng và Ngõ 234 Hoàng Quốc Việt - Đối diện Trường Cao đẳng Y - Dược ASEAN, gần Trường Đại Học Điện Lực * Loại hình nhà cho thuê: Dãy phòng trọ 7 phòng chung 2 vệ sinh, 2 phòng tắm có lắp nóng lạnh (nhà cũ, hướng đông nam mát, không cần điều hòa) * Giá thuê: 900.000đ/phòng/tháng"
7,05/2021,4500000,30.0,21.005170, 105.810399,Ccmn,3.0,108.0,Khepkin,1,2,1,1,1,1,0,1,0,1,0,1,0,1,"16 Ngách 144/2 Quan Nhân, Nhân Chính, Thanh Xuân, Hà Nội","Cho thuê CCMN ở Ngã Tư Sở full đầy đủ tiện nghi - Vị trí: ngõ 144/2 Quan Nhân (mặt hồ) Tiện nghi: máy giặt, camera an ninh, wifi, để xe miễn phí, thang máy, sân phơi rộng thoáng Nội thất: giường, tủ quần áo, điều hòa, nóng lạnh, kệ bếp nấu ăn, bàn ăn Giá chỉ 4,5 triệu ( có fix nhẹ ) Quan tâm liên hệ lại mình"
8,05/2021,1700000,15.0,21.035645, 105.777844,Nhatang,2.2,98.0,Khepkin,1,2,1,0,1,1,0,0,0,0,0,0,0,1,"Ngõ 10/77b Đường Trần Bình, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","Phòng kk ngõ 10/77b Trần Bình-Hồ Tùng Mậu giá rẻ 1tr-1tr8, phòng đủ đồ 2tr6-3tr Diện tích 12m-20m Căn nhà có 6 tầng, xe để dưới tầng một, phòng kk có cửa sổ rộng thoáng mát rượi, nấu ăn trong phòng, phòng có phản, giường, tủ quần áo, đh, bình nóng lạnh, kệ bếp nấu ăn, chậu rửa bát, tuỳ theo phòng nhé, phòng nhỏ chưa có đồ đạc, các bạn tự túc, nhà gần chợ dân sinh, siêu thị lớn, điểm xe buýt ngay đầu ngõ, gần DH quốc gia, Dh Thương mại, bến xe Mỹ Đình, an ninh đảm bảo, điện nước giá rẻ, mạng tốc độ cao, phòng to ở được 3 người thoải mái, đi làm, đi học, hộ gia đình đều ở được"
4,05/2021,3500000,40.0,20.966464, 105.773868,Nhacap,3.5,46.0,Khepkin,1,2,1,0,1,0,0,0,0,1,0,0,0,1,"F19 Lê Hồng Phong, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội","Chính chủ muốn cho HỘ GIA ĐÌNH thuê nhà cấp 4 khép kín 2 phòng ngủ:- Diện tích: 40 m2 cực kỳ rộng rãi thoáng mát, không chung chủ, an ninh tốt- Giao thông thuận tiện, gần chợ, siêu thị, trường học, bến xe bus,..- Trước cửa nhà có khoảng không gian rộng, cây cối thoáng mát, để xe thoải mái- Điện nước có đồng hồ riêng, đóng theo giá nhà nước- Giá cho thuê: 3 triệu 5, (cho hộ gia đình thuê)- Địa chỉ chi tiết: Số nhà F19, tổ dân phố số 13, phố Lê Hồng Phong, Hà Đông (Đối diện siêu thị Metro Hà đông)- Liên hệ: 0777201098 (chị Đậu) hoặc 0906123087 (Anh Dũng)"
3,05/2021,3000000,30.0,21.003119, 105.825170,Nhatang,2.8,89.0,Khepkin,1,2,1,0,1,0,0,0,0,1,1,0,0,1,"Số 55 ngõ 165 Khương Thượng, Phường Khương Thượng, Quận Đống Đa, Hà Nội","Cho thuê phòng ở phường Khương Thượng, Quận Đống Đa, Hà NộiĐịa chỉ: 55 ngõ 165 phường Khương Thượng, Đống Đa, Hà NộiPhòng tầng 1, khoảng hơn 30m2, có gác xép rộng 15m2 , nhà bếp và phòng tắm khép kín, có bình nóng lạnh.(Nhà 3 tầng, cầu thang đi lên tầng riêng, không đi qua phòng tầng 1)Có sân để xe và phơi quần áo, có công tơ điện riêng. Nước 50K/ng, điện 4K/số.Vừa mới tân trang lại, sạch sẽ, thoáng mát, yên tĩnh, riêng biệt không phải chung đụng với ai, đảm bảo an ninh.Gần trường học (cấp 1, 2, 3 và đại học), gần chợ (nhưng không ở sát chợ nên rất yên tĩnh), gần các trung tâm thương mại (Royal city, mipec tower,…)Giá: 3.000.000VNĐ.Mọi chi tiết liên hệ: Cô Châu: 0393687686.P/S: ưu tiên cho hộ gia đình và người đã đi làm thuê."
5,05/2021,2000000,20.0,20.966978, 105.869845,Nhatang,4.5,173.0,Khepkin,1,2,1,1,1,1,0,0,0,0,0,0,0,1,"42 ngách 1 ngõ 989 Đường Tam Trinh, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Chỉ 2tr p.h.ò.n.g khép kín đủ đồ tại Tam Trinh, Hoàng Mai.- Phòng khép kín, có điều hòa, nóng lạnh, giường, tủ, quạt- Nhà không chung chủ, gần công viên Yên Sở, Time city, Metro, Tân Mai, Đền Lừ, Vĩnh Hưng, Vĩnh Hoàng, cạnh chợ, siêu thị, đượng rộng, ô tô đỗ cửa- Địa chỉ: Số nhà 42 ngách 1 Ngõ 989 Tam Trinh, Hoàng Mai, Hà Nội. ( Ngõ 989 Tam Trinh đối diện với Điện Máy Xanh 192 Tam Trinh )- G.i.á 2tr/tháng. Phòng như ảnh. ( Lưu ý: seach google map địa chỉ xem vị trí có phù hợp với chỗ đi học, đi làm ko các e nhé )️️️ Lh c.h.í.n.h c.h.ủ:"
2,05/2021,3500000,45.0,21.026024, 105.836677,Nhatang,2.3,36.0,KKK,1,2,1,0,0,1,0,0,0,1,0,0,0,1,"5 ngõ 23 Phố Quốc Tử Giám, Phường Văn Chương, Quận Đống Đa, Hà Nội","Gia đình chúng tôi cho thuê phòng tại địa chỉ trên (không qua trung gian)-Diện tích 50m2-Có bếp, nhà vệ sinh riêng-Có điều hòa-Công tơ điện riêng,công tơ nước riêngMọi thông tin xin vui lòng liên hệ : Cô Loan 0977170569 hoặc 0777318671"
